m,C,states,nnz_per_step,spectral_radius,gap,mode,time_sec
5,1,486,864,2.857725078091e-2,9.714227492191e-1,iterative,0.0
5,2,729,1728,6.069702389140e-1,3.930297610860e-1,iterative,0.0
5,3,972,2832,9.262218547904e-1,7.377814520956e-2,iterative,0.0
5,4,1215,4177,9.611416737736e-1,3.885832622637e-2,iterative,0.0
5,5,1458,5763,9.634005917806e-1,3.659940821941e-2,iterative,0.1
5,10,2673,17297,9.635044131614e-1,3.649558683863e-2,iterative,0.1
5,24,6075,81580,9.635044131620e-1,3.649558683799e-2,iterative,0.7
5,23,5832,75426,9.635044131620e-1,3.649558683799e-2,iterative,0.8
5,26,6561,94612,9.635044131620e-1,3.649558683799e-2,iterative,0.8
5,25,6318,87976,9.635044131620e-1,3.649558683799e-2,iterative,0.9
5,27,6804,101488,9.635044131620e-1,3.649558683799e-2,iterative,1.1
5,32,8019,139478,9.635044131620e-1,3.649558683799e-2,iterative,1.5
5,45,11178,266389,9.635044131620e-1,3.649558683799e-2,iterative,3.4
5,46,11421,277835,9.635044131620e-1,3.649558683799e-2,iterative,3.6
5,47,11664,289522,9.635044131620e-1,3.649558683799e-2,iterative,3.8
5,48,11907,301448,9.635044131620e-1,3.649558683799e-2,iterative,4.4
5,49,12150,313616,9.635044131620e-1,3.649558683799e-2,iterative,4.2
5,54,13365,378061,9.635044131620e-1,3.649558683799e-2,iterative,5.0
5,55,13608,391671,9.635044131620e-1,3.649558683799e-2,iterative,5.2
5,56,13851,405522,9.635044131620e-1,3.649558683799e-2,iterative,6.5
5,57,14094,419613,9.635044131620e-1,3.649558683799e-2,iterative,7.0
5,58,14337,433945,9.635044131620e-1,3.649558683799e-2,iterative,7.4
5,63,15552,509212,9.635044131620e-1,3.649558683799e-2,iterative,10.0
5,67,16524,573755,9.635044131620e-1,3.649558683799e-2,iterative,9.8
5,68,16767,590492,9.635044131620e-1,3.649558683799e-2,iterative,12.2
5,69,17010,607469,9.635044131620e-1,3.649558683799e-2,iterative,12.1
5,70,17253,624687,9.635044131620e-1,3.649558683799e-2,iterative,11.9
5,71,17496,642146,9.635044131620e-1,3.649558683799e-2,iterative,13.9
5,76,18711,733045,9.635044131620e-1,3.649558683799e-2,iterative,15.1
5,77,18954,751947,9.635044131620e-1,3.649558683799e-2,iterative,15.9
5,78,19197,771089,9.635044131620e-1,3.649558683799e-2,iterative,14.3
5,79,19440,790471,9.635044131620e-1,3.649558683799e-2,iterative,15.5
5,80,19683,810094,9.635044131620e-1,3.649558683799e-2,iterative,14.9
5,85,20898,911816,9.635044131620e-1,3.649558683799e-2,iterative,21.7
5,108,26487,1457179,9.635044131620e-1,3.649558683799e-2,iterative,32.5
5,107,26244,1430822,9.635044131620e-1,3.649558683799e-2,iterative,36.7
5,109,26730,1483776,9.635044131620e-1,3.649558683799e-2,iterative,39.6
5,111,27216,1537693,9.635044131620e-1,3.649558683799e-2,iterative,41.0
5,110,26973,1510614,9.635044131620e-1,3.649558683799e-2,iterative,42.9
5,116,28431,1676692,9.635044131620e-1,3.649558683799e-2,iterative,44.5
5,151,36936,2818039,9.635044131620e-1,3.649558683799e-2,iterative,112.3
5,152,37179,2854978,9.635044131620e-1,3.649558683799e-2,iterative,111.6
5,154,37665,2929577,9.635044131620e-1,3.649558683799e-2,iterative,107.9
5,153,37422,2892158,9.635044131620e-1,3.649558683799e-2,iterative,113.6
5,155,37908,2967238,9.635044131620e-1,3.649558683799e-2,iterative,117.9
5,160,39123,3159148,9.635044131620e-1,3.649558683799e-2,iterative,120.4
5,162,39609,3237595,9.635044131620e-1,3.649558683799e-2,iterative,94.2
5,161,39366,3198251,9.635044131620e-1,3.649558683799e-2,iterative,96.4
5,164,40095,3317007,9.635044131620e-1,3.649558683799e-2,iterative,93.0
5,163,39852,3277181,9.635044131620e-1,3.649558683799e-2,iterative,94.4
5,169,41310,3519744,9.635044131620e-1,3.649558683799e-2,iterative,95.4
