L,x,prefix_all_a1,n_upcrossings_prefix,ups_over_L,max_d_prefix,max_d_extended,n_steps_run
1,3,True,0,0.0,0,0,2
2,7,True,1,0.5,1,1,5
3,15,True,1,0.3333333333333333,1,1,5
4,31,True,2,0.5,2,6,39
5,63,True,2,0.4,2,5,39
6,127,True,3,0.5,3,3,15
7,255,True,4,0.5714285714285714,4,4,15
8,511,True,4,0.5,4,4,20
9,1023,True,5,0.5555555555555556,5,5,20
10,2047,True,5,0.5,5,7,56
11,4095,True,6,0.5454545454545454,6,6,56
12,8191,True,7,0.5833333333333334,7,8,56
13,16383,True,7,0.5384615384615384,7,7,56
14,32767,True,8,0.5714285714285714,8,8,44
15,65535,True,8,0.5333333333333333,8,8,44
16,131071,True,9,0.5625,9,11,80
17,262143,True,9,0.5294117647058824,9,10,80
18,524287,True,10,0.5555555555555556,10,10,61
19,1048575,True,11,0.5789473684210527,11,11,61
20,2097151,True,11,0.55,11,11,109
21,4194303,True,12,0.5714285714285714,12,12,109
22,8388607,True,12,0.5454545454545454,12,12,174
23,16777215,True,13,0.5652173913043478,13,13,174
24,33554431,True,14,0.5833333333333334,14,16,162
