C,M_edge_archived,m_irr_formula,run_predicted,match
3,9,9,53,True
4,12,12,53,True
5,14,14,53,True
6,16,16,53,True
7,19,19,53,True
8,21,21,53,True
9,24,24,53,True
10,26,26,53,True
11,28,28,53,True
12,31,31,53,True
13,33,33,53,True
14,36,36,53,True
15,38,38,53,True
16,40,40,53,True
17,43,43,53,True
18,45,45,53,True
19,48,48,53,True
20,50,50,53,True
21,53,53,106,True
22,55,55,106,True
23,57,57,106,True
24,60,60,106,True
25,62,62,106,True
26,65,65,106,True
27,67,67,106,True
28,69,69,106,True
29,72,72,106,True
30,74,74,106,True
31,77,77,106,True
32,79,79,106,True
33,81,81,106,True
34,84,84,106,True
35,86,86,106,True
36,89,89,106,True
37,91,91,106,True
38,93,93,106,True
39,96,96,106,True
40,98,98,106,True
41,101,101,106,True
42,103,103,106,True
43,106,106,159,True
44,108,108,159,True
45,110,110,159,True
46,113,113,159,True
47,115,115,159,True
48,118,118,159,True
49,120,120,159,True
50,122,122,159,True
