word_label,m,a_seq,L,band,chain_max,departure_prefix,traj_class_mod27,replay_ok
golden-per8,5,"2,2,2,2,2",2,4,2,,1;1;1,True
golden-per8,5,"2,2,2,2,4",2,4,4,5,1;1;1,True
golden-per8,5,"2,2,2,4,1",2,4,3,4,1;1;1,True
golden-per8,5,"2,4,3,2,1",2,4,4,2,1;5;13,True
golden-per8,5,"4,3,2,1,1",2,4,4,1,5;13;17,True
golden-per8,6,"2,2,2,2,2,2",2,4,2,,1;1;1,True
golden-per8,6,"2,2,2,2,2,4",2,4,4,6,1;1;1,True
golden-per8,6,"2,2,2,2,4,1",2,4,4,5,1;1;1,True
golden-per8,6,"2,4,3,2,1,1",2,4,4,2,1;5;13,True
golden-per8,6,"4,3,2,1,1,2",2,4,4,1,5;13;17,True
golden-per8,7,"2,2,2,2,2,2,2",2,4,2,,1;1;1,True
golden-per8,7,"2,2,2,2,2,2,4",2,4,4,7,1;1;1,True
golden-per8,7,"2,2,2,2,2,4,1",2,4,4,6,1;1;1,True
golden-per8,7,"2,4,3,2,1,1,2",2,4,4,2,1;5;13,True
golden-per8,8,"2,2,2,2,2,2,2,2",3,5,3,,1;1;1,True
golden-per8,8,"2,2,2,2,2,2,2,4",3,5,5,8,1;1;1,True
golden-per8,8,"2,2,2,2,2,2,4,1",3,5,4,7,1;1;1,True
golden-per8,8,"2,2,2,2,4,3,2,1",3,5,5,5,1;1;1,True
golden-per8,8,"2,2,2,4,3,2,1,1",3,5,5,4,1;1;1,True
golden-per8,8,"2,2,4,3,2,1,1,2",3,5,5,3,1;1;5,True
golden-per8,8,"2,2,4,3,2,1,3,1",3,5,5,3,1;1;5,True
golden-per8,8,"2,4,3,2,1,3,1,2",3,5,5,2,1;5;13,True
golden-per8,8,"4,3,2,1,3,1,2,2",3,5,5,1,5;13;17,True
sqrt2-per12,5,"2,2,2,2,2",3,5,3,,1;1;1,True
sqrt2-per12,5,"2,2,2,2,4",3,5,5,5,1;1;1,True
sqrt2-per12,5,"2,2,2,4,1",3,5,4,4,1;1;1,True
sqrt2-per12,5,"2,4,3,2,1",3,5,5,2,1;5;13,True
sqrt2-per12,5,"4,3,2,1,1",3,5,4,1,5;13;17,True
sqrt2-per12,6,"2,2,2,2,2,2",3,5,3,,1;1;1,True
sqrt2-per12,6,"2,2,2,2,2,4",3,5,5,6,1;1;1,True
sqrt2-per12,6,"2,2,2,2,4,1",3,5,5,5,1;1;1,True
sqrt2-per12,6,"2,4,3,2,1,1",3,5,5,2,1;5;13,True
sqrt2-per12,6,"4,3,2,1,1,2",3,5,4,1,5;13;17,True
sqrt2-per12,7,"2,2,2,2,2,2,2",4,6,4,,1;1;1,True
sqrt2-per12,7,"2,2,2,2,2,2,4",4,6,6,7,1;1;1,True
sqrt2-per12,7,"2,2,2,2,2,4,1",4,6,5,6,1;1;1,True
sqrt2-per12,7,"2,2,2,4,3,2,1",4,6,6,4,1;1;1,True
sqrt2-per12,7,"2,2,4,3,2,1,1",4,6,6,3,1;1;5,True
sqrt2-per12,7,"2,4,3,2,1,1,2",4,6,5,2,1;5;13,True
sqrt2-per12,7,"2,4,3,2,1,3,1",4,6,6,2,1;5;13,True
sqrt2-per12,7,"4,3,2,1,3,1,2",4,6,6,1,5;13;17,True
sqrt2-per12,8,"2,2,2,2,2,2,2,2",4,6,4,,1;1;1,True
sqrt2-per12,8,"2,2,2,2,2,2,2,4",4,6,6,8,1;1;1,True
sqrt2-per12,8,"2,2,2,2,2,2,4,1",4,6,6,7,1;1;1,True
sqrt2-per12,8,"2,2,2,4,3,2,1,1",4,6,6,4,1;1;1,True
sqrt2-per12,8,"2,2,4,3,2,1,1,2",4,6,6,3,1;1;5,True
sqrt2-per12,8,"2,4,3,2,1,3,1,2",4,6,6,2,1;5;13,True
sqrt2-per12,8,"4,3,2,1,3,1,2,2",4,6,6,1,5;13;17,True
