word_label,m,L,band,traj_class_mod27,n_chains_in_group,min_max_partial_sum
golden-per8,5,2,4,1;1;1,3,2
golden-per8,5,2,4,1;5;13,1,4
golden-per8,5,2,4,5;13;17,1,4
golden-per8,6,2,4,1;1;1,3,2
golden-per8,6,2,4,1;5;13,1,4
golden-per8,6,2,4,5;13;17,1,4
golden-per8,7,2,4,1;1;1,3,2
golden-per8,7,2,4,1;5;13,1,4
golden-per8,8,3,5,1;1;1,5,3
golden-per8,8,3,5,1;1;5,2,5
golden-per8,8,3,5,1;5;13,1,5
golden-per8,8,3,5,5;13;17,1,5
sqrt2-per12,5,3,5,1;1;1,3,3
sqrt2-per12,5,3,5,1;5;13,1,5
sqrt2-per12,5,3,5,5;13;17,1,4
sqrt2-per12,6,3,5,1;1;1,3,3
sqrt2-per12,6,3,5,1;5;13,1,5
sqrt2-per12,6,3,5,5;13;17,1,4
sqrt2-per12,7,4,6,1;1;1,4,4
sqrt2-per12,7,4,6,1;1;5,1,6
sqrt2-per12,7,4,6,1;5;13,2,5
sqrt2-per12,7,4,6,5;13;17,1,6
sqrt2-per12,8,4,6,1;1;1,4,4
sqrt2-per12,8,4,6,1;1;5,1,6
sqrt2-per12,8,4,6,1;5;13,1,6
sqrt2-per12,8,4,6,5;13;17,1,6
