m,D_recon,mirror_law_D_per,game_D_root_anchored,game_D_end_anchored,root_margin_ok,end_margin_ok,root_indep_crosscheck_ok,end_indep_crosscheck_ok
2,0,0,1,0,True,True,True,True
3,0,1,2,1,True,True,True,True
4,0,1,2,1,True,True,True,True
5,0,2,3,2,True,True,True,True
6,0,2,3,2,True,True,True,True
7,0,2,3,2,True,True,True,True
8,0,3,4,3,True,True,True,True
9,0,3,4,3,True,True,True,True
10,0,4,5,4,True,True,True,True
11,0,4,5,4,True,True,True,True
12,0,4,5,4,True,True,True,True
13,0,5,6,5,True,True,True,True
14,0,5,6,5,True,True,True,True
15,0,6,7,6,True,True,True,True
16,0,6,7,6,True,True,True,True
17,0,7,8,7,True,True,True,True
18,0,7,8,7,True,True,True,True
19,0,7,8,7,True,True,True,True
20,0,8,9,8,True,True,True,True
21,0,8,9,8,True,True,True,True
22,0,9,10,9,True,True,True,True
23,0,9,10,9,True,True,True,True
24,0,9,10,9,True,True,True,True
25,0,10,11,10,True,True,True,True
26,0,10,11,10,True,True,True,True
27,0,11,12,11,True,True,True,True
28,0,11,12,11,True,True,True,True
29,0,12,12,11,True,True,True,True
30,0,12,12,11,True,True,True,True
31,0,12,11,11,True,True,True,True
32,0,13,12,11,True,True,True,True
